term,replacement
gambar,gambar
terimakasih,thanks
gem,game
cuman,cuma
coba,coba
promo,promo
janagan,jangan
hapus,hapus
sekian,sekian
terima,terima
origato,arigatou
gazzaimas,gozaimasu
uba,ubah
demegnya,damage
gebak,gebak
aimnya,aim
kapal,kapal
merah,merah
musunya,musuh
uda,sudah
liat,lihat
musuhya,musuh
kenapahelem,kenapa
hacur,hancur
abis,habis
kalah,kalah
mulu,mulu
mainin,main
umur,umur
hidup,hidup
kecurang,curang
beban,beban
acak,acak
ranknya,rank
training,training
puas,puas
sekarangsetiap,sekarang
match,match
mengasih,kasih
team,tim
gilir,gilir
teamnya,tim
jagomusuhnya,jago
mamba,mamba
gada,tidak
sayaudh,saya
dipencet,pencet
glowal,glowal
keluaremang,keluar
rusakevent,rusak
doang,doang
elit,elit
sulit,sulit
min,min
settingan,setting
rosulusi,resolusi
layar,layar
buram,buram
pecah,pecah
set,set
halus,halus
hpnya,hp
setting,setting
kinerja,kerja
ngrafik,grafik
low,low
berat,berat
resolusi,resolusi
maksimal,maksimal
panas,panas
freme,frame
fps,fps
drop,drop
gua,saya
keluh,keluh
tutup,tutup
diperbaiki,perbaiki
nyaman,nyaman
citerkalo,cheater
next,next
tingkatin,tingkat
aman,aman
fitur,fitur
nyakeamanan,aman
juga¡,juga
karuan,karuan
pailih,pilih
provider,provider
kuota,kuota
besarrr,besar
samaaaaa,sama
buriiiiik,jelek
tembak,tembak
tau,tau
on,on
mic,mic
bintang,bintang
absen,absen
crystal,crystal
reloadloading,reload
tinggal,tinggal
males,males
nunggu,tunggu
kadang,kadang
menit,menit
loading,loading
updatenya,update
lihat,lihat
gamenyasinyal,game
bagusnamun,bagus
diakhir,akhir
downpadahal,down
skin,skin
pake,pake
grafik,grafik
ultra,ultra
full,full
gituu,gitu
jadiin,jadi
gimana,gimana
biar,biar
standar,standar
auto,auto
loot,loot
cepat,cepat
tetep,tetep
lelet,lelet
ngelootbug,bug
kepala,kepala
badan,badan
matiudah,mati
skill,skill
pasif,pasif
lari,lari
asa,asa
lambatreload,lama
lgi,lagi
war,war
lamban,lama
reloadkadang,reload
sembunyi,sembunyi
peluru,peluru
contohnya,contoh
tembok,tembok
tembusbug,tembus
gajelassering,tidak
nyangkut,nyangkut
objekkurang,objek
hukum,hukum
kecewa,kecewa
angka,angka
normal,normal
kedepannya,depan
semoga,semoga
sih,sih
dikit,dikit
cape,cape
ngosongin,kosong
memo,memo
mlu,mulu
klo,kalo
stresssss,stres
blmg,bilang
modif,modif
file,file
atauu,atau
mashhh,masih
udhhh,udah
hpus,hapus
apknya,aplikasi
drii,dari
ffmax,ff
biyasa,biasa
ttp,tetep
blcklisttt,blacklist
rengcs,rank
anjgg,anjing
kluarrr,keluar
dwt,duit
bnyk,banyak
giniin,gini
lu,kamu
pikir,pikir
gwaaa,saya
mainnnnya,main
trening,training
stresss,stres
random,random
dapetnya,dapet
gausah,tidak
pilih,pilih
alangkah,langkah
wajib,wajib
diamond,diamond
teman,teman
gold,gold
platinum,platinum
kebanyakkan,banyak
master,master
elite,elite
heroic,heroic
hibur,hibur
heodshots,headshot
harap,harap
bikin,bikin
kesel,kesel
ngomong,ngomong
kasar,kasar
ram,ram
diatasi,atas
gw,saya
resorts,resorts
andrew,andrew
mines,minus
masuk,masuk
parahhhhhh,parah
akun,akun
ngabisin,habis
uang,uang
top,top
up,up
nge,nge
cheat,cheat
pakai,pakai
config,config
suspend,suspend
pernanen,permanen
enak,enak
ajah,aja
dibenerin,dibenerin
resah,resah
play,play
sampah,sampah
hit,hit
headshot,headshot
eh,eh
tau²,tau
mokad,mati
nih,nih
malas,malas
free,free
fire,fire
henti,berhenti
pokok,pokok
offline,offline
sehing,hingga
kampung,kampung
pul,full
desa,desa
bilang,bilang
seburik,jelek
gilak,gila
adilgame,adil
booyah,booyah
pass,pass
pokonya,pokok
sabar,sabar
desember,desember
semangat,semangat
devoleper,developer
menarik,tarik
woi,woi
ngingetin,inget
bngt,banget
bugbug,bug
headshotsin,headshot
pdahal,padahal
daranya,darah
sebal,kesal
asik,asik
mabar,mabar
naikin,naik
range,range
kli,kali
computer,computer
maenkadang,main
ngeblink,blink
ganti,ganti
celana,celana
murah,murah
rp,rp
lumayan,lumayan
mantap,mantap
tirtel,tirtel
kesini,kesini
geser,geser
heran,heran
serip,sering
robot,robot
jelek,jelek
ngelekmalah,lag
kesal,kesal
ngelek,lag
salah,salah
stabil,stabil
masak,masak
peringatkan,ingat
eror,eror
minnnn,min
tolongg,tolong
fix,fix
jj,jj
manual,manual
makasih,makasih
bikinin,bikin
manualtapi,manual
keseringanitu,sering
ganggu,ganggu
gameplay,gameplay
sayaaaa,saya
halo,halo
maaf,maaf
komen,komentar
lapor,lapor
afk,afk
gx,tidak
ngewar,war
kalok,kalau
ngidupin,hidup
bareng,bareng
tiba²,tiba
adu,adu
knapa,kenapa
blum,belum
harum,harum
maki,maki
rame,rame
gini,gini
lama²,lama
nikmat,nikmat
craftland,craftland
ngeselin,kesal
emosi,emosi
banting,banting
dah,dah
patah²,patah
ngasih,kasih
sesuai,sesuai
kda,kda
seimbang,imbang
dapet,dapet
ngerti,ngerti
revive,revive
plangaplongo,plongo
gajelas,gajelas
wkwkw,wkwk
setan,setan
aduh,aduh
dahlah,dah
anjir,anjir
freezer,freezer
si,si
honor,honor
skor,skor
perbaikin,perbaiki
gabisa,gabisa
minimal,minimal
agam,agam
setara,tara
mah,mah
darssistem,dark sistem
kawan,kawan
atur,atur
store,store
aminnnn,amin
idiot,idiot
ketemu,ketemu
jagotapi,jago
botoh,bodoh
iya,iya
mending,mending
kasian,kasian
abisin,habis
duit,duit
nyepin,pin
jujur,jujur
pantes,pantas
sepi,sepi
kikir,kikir
pelit,pelit
bocil,bocil
byang,yang
spin,spin
xmb,xmb
evo,evo
kulgar,kulgar
misteri,misteri
shop,shop
semenjak,semenjak
kendala,kendala
buk,bug
patah,patah
pakek,pakai
ilangin,hilang
vs,vs
hs,hs
anehh,aneh
beli,beli
spesial,spesial
airdrop,airdrop
pulsa,pulsa
diamon,diamond
bayar,bayar
tolak,tolak
cek,cek
langamin,ngalamin
ngalamin,ngalamin
rang,rang
setuju,setuju
dikasi,kasih
plestor,plestor
utamain,utama
gagal,gagal
banyakin,banyak
segi,segi
old,old
kangen,kangen
kereta,kereta
pesan,pesan
baca,baca
balas,balas
gerena,garena
citdi,cheat
kalasik,klasik
tindak,tindak
lanjuti,lanjut
tetang,tetang
cit,cheat
mainya,main
debes,best
macs,match
yah,nya
pendeteksi,deteksi
investigasi,investigasi
bersih,bersih
report,report
kill,kill
bermingguminggu,minggu
bodoh,bodoh
tdk,tidak
benarbenar,benar
deteksi,deteksi
hadshot,headshot
empatkarena,empat
bgi,bagi
plyr,player
fiks,fiks
deflepor,developer
canggih,canggih
banyk,banyak
apk,afk
diban,ban
capek,capek
latih,latih
kalh,kalah
ama,sama
murni,murni
ban,ban
in,in
era,era
zona,zona
posionmode,posion mode
zombi,zombi
gara,gara
kaya,kaya
cocok,cocok
grafis,grafik
terdunda,denda
erorr,error
ulas,ulas
sayasaya,saya
kitakembalikan,kita
ari,ari
pecat,pecat
ridho,ridho
setres,stres
hd,hd
kaga,kaga
heatshot,headshot
nyawa,nyawa
diperbaikin,perbaiki
serusekali,seru
beberapahari,berapa
pasmain,main
ternyat,ternyata
inget,inget
push,push
jari,jari
med,med
kit,kit
byk,banyak
trending,trending
adil,adil
matchmaking,matchmaking
minim,minim
menengah,tengah
contonya,contonya
heroik,heroik
room,room
asalamualaikum,assalamualaikum
kuat,kuat
aim,aim
pengen,ingin
anjinggggggg,anjing
mles,males
platimun,platinum
silverharus,silver
yng,yang
rnk,rank
setaraaaaaaa,setara
heroiccc,heroic
mls,malas
lindung,lindung
banyakinnnnn,banyak
mvp,mvp
lol,lol
sayang,sayang
rada,rada
tanah,tanah
mini,mini
kagak,tidak
dm,dm
pilis,pilis
iklan,iklan
pertamakali,pertama
lagitolong,lagi
sopan,sopan
komplen,komplain
season,season
grafiknya,grafik
ngelagnya,lag
halang,halang
beeehhh,beh
ko,ko
oke,oke
kontrol,kontrol
mb,mb
lest,lest
enjoy,enjoy
to,to
ekspektasi,ekspektasi
batasi,batas
cip,cip
nga,tidak
perang,perang
geme,gim
demage,damage
sakit,sakit
lemah,lemah
oi,oi
lobby,lobi
timeout,timeout
emang,emang
kontol,anjing
makingnya,match
imbang,imbang
making,makin
tanggapi,tanggap
hadehhh,hadeh
dehhhh¡¡¡¡,deh
epep,epep
engga,tidak
tangtangan,tantangan
tambahin,tambah
vitur,fitur
ricord,record
rekam,rekam
menting,ting
sura,suara
kendaraankarakter,kendaraan
contoh,contoh
dameg,damage
dl,dulu
ketidak,tidak
nyamanan,nyaman
firetolong,fire
yank,yang
oflen,offline
baguss,bagus
paket,paket
meresakan,resah
klu,kalau
perangsenjataapiyg,perang
gelowaladalah,glowal
apikalau,api
hilangin,hilang
itusenjata,senjata
apiyg,api
golowaltolong,glowal
itugarena,garena
tibatiba,tiba
rankedpadahal,rank
sihh,sih
rekan,rekan
bertiga,tiga
kga,tidak
server,server
apakarna,apa
sendirikebanyakan,sendiri
boot,boot
buriklogin,jelek
susahpadahal,susah
bagusbukan,bagus bukan
kalitapi,tapi
susahteman,susah
merasakannyasama,rasa
adaada,ada
masang,pasang
pasang,pasang
sayaitu,saya
kualitas,kualitas
taik,tai
pling,paling
pke,pake
citer,cheater
ngurangpadahal,kurang
pala,kepala
metong,mati
cok,cok
gmana,gimana
peta,peta
perluas,luas
lg,lagi
woy,woy
gampang,gampang
bosen,bosen
tu,tu
dibanyakin,banyak
ngebuat,buat
senang,senang
urut,urut
posisi,posisi
patahpadahal,patah
keluarin,keluar
murahplease,murah
garenajangan,garena
hancur,hancur
bandel,bundle
konpik,config
kalibaru,kali
ngasi,kasih
global,global
lahitu,lah
aj,aja
thanks,thanks
jalan,jalan
merivev,merevive
mundur,mundur
komentar,komentar
instal,instal
mencet,mencet
info,info
dijelasin,jelas
develovernya,developer
udahmah,udah
niat,niat
bonus,bonus
ap,apa
ah,ah
masi,masih
tawuran,tawur
padahl,padahal
cewek,cewek
loh,loh
minn,min
upgrade,upgrade
ny,nya
sampesampe,sampe
rela,rela
bagusssssss,bagus
bangeetttttttttt,banget
jugaa,juga
yaudah,yaudah
sukaa,suka
updt,update
anime,anime
blue,blue
lock,lock
heheheh,hehe
apaansih,apaan sih
nurunin,nurunin
turunin,turunin
mikir,mikir
garenaa,garena
barusan,barusan
bangettapi,banget
minsaya,min
jagoselain,jago
apdate,update
hmmm,hm
kdng,kadang
kesepian,sepi
cmn,cuma
tp,tapi
sndiri,sendiri
ajak,ajak
gmnn,gimana
gacorr,gacor
tinggkatkan,tingkat
analog,analog
gerak,gerak
diam,diam
the,the
beast,beast
stuck,stuck
stand,stand
by,by
hehe,hehe
and,and
gratisansultan,gratis
gamed,game
kontollllll,anjing
anjingg,anjing
darii,dari
bangsatttt,bangsat
tololll,tolol
muluuuu,mulu
ngelagg,lag
menangggggamee,menang
kontolll,anjing
adill,adil
bangsatt,bangsat
clas,class
solo,solo
dikasih,kasih
ggperbaiki,perbaiki
loll,lol
sinjatanya,senjata
lengkam,lengkap
banya,banyak
misi,misi
sinjata,senjata
abded,update
efef,ff
bgus,bagus
baiki,baik
dperbaiki,perbaiki
ampas,ampas
comeback,comeback
botttt,bot
emng,memang
surveynya,survey
ngebalence,balance
gabunginlah,gabung
belajar,ajar
campur,campur
aduk,aduk
denger,dengar
bener,bener
rekomendasi,rekomendasi
kunci,kunci
maumu,mau
seruaku,rua
sekaliterimakasih,makasih
initapiijangan,ini
sering²,sering
sepadan,padan
sportif,sportif
renk,renk
temennya,teman
kin,kin
kesekian,sekian
suspen,suspen
kasihan,kasihan
lh,lh
cambeck,comeback
dnck,dnck
sia,sia
garenaya,garena
heh,heh
dongo,dongo
dancok,dancok
hilang,hilang
sebelah,belah
buatin,buat
rangking,rank
bronze,bronze
poin,poin
fiturfitur,fitur
kaget,kaget
suara,suara
pemberitahuan,berita
bunyi,bunyi
jring,jring
risihtumbol,risih
karekter,karakter
gmenyakuhapus,game
gmenya,game
vaul,vaul
vaulnya,vaul
skil,skill
hero,hero
heronya,hero
playstore,playstore
gapake,gapakai
script,script
blacklist,blacklist
mendingan,mending
gausa,gausah
bebanin,beban
device,device
kosongin,kosong
log,log
out,out
perangkat,perangkat
riwayat,riwayat
kosong,kosong
emel,ml
lemot,lemot
mabarmain,mabar
stiap,setiap
terakir,akhir
hoki,hoki
plis,plis
tiktoker,tiktoker
kenal,kenal
bundle,bundle
boyahh,boyah
dimenarikin,menarik
yutuber,youtuber
ad,ad
tulis,tulis
error,error
ayo,ayo
kontl,kontl
bngst,bangsat
bagusbattle,bagus
royal,royal
jam,jam
sore,sore
kemaren,kemaren
sekarangini,sekarang
gimna,gimana
dongg,dong
nilogin,login
loby,lobi
merahzkdng,merah
teruss,terus
minkok,min
ngga,tidak
dimainin,main
tmn,teman
nggatolong,tolong
buggame,bug
dimainintolong,main
tunggu,tunggu
aman²,aman
youtube,youtube
amana,aman
napa,kenapa
seson,season
best,best
stress,stres
tarik,tarik
woyy,woy
sial,sial
cekat,cekat
babi,babi
njingg,anjing
masah,masah
ngadepin,ngadepin
menitan,menit
phus,phus
bagusin,bagus
awas,awas
doain,doa
bangkrut,bangkrut
boyah,boyah
iri,iri
seringkali,sering
mesin,mesin
headshotnya,headshot
capai,capai
𝑔𝑎𝑚𝑒𝑛𝑦𝑎,game
𝑏𝑎𝑔𝑢𝑠,bagus
𝑔𝑟𝑎𝑓𝑖𝑘𝑛𝑦𝑎,grafik
𝑗𝑢𝑔𝑎,juga
𝑏𝑎𝑔𝑢𝑠𝑡𝑎𝑝𝑖,bagus
𝑏𝑢𝑎𝑡,buat
𝑠𝑝𝑖𝑛𝑎𝑛𝑛𝑦𝑎,spin
𝑡𝑜𝑙𝑜𝑛𝑔,tolong
𝑑𝑖,di
𝑚𝑢𝑑𝑎ℎ𝑖𝑛,mudah
𝑚𝑖𝑛,min
𝑚𝑎𝑠𝑎,masa
𝑡𝑖𝑘𝑒𝑡,tiket
𝑖𝑛𝑐𝑢𝑏𝑎𝑡𝑜𝑟,incubator
𝑔𝑎,tidak
𝑑𝑎𝑝𝑒𝑡,dapat
𝑎𝑝𝑎,apa
breee,bre
wee,we
jugayang,juga
beuuhhhh,beh
rugi,rugi
men,min
kirim,kirim
betah,betah
ngendok,ngendok
pohon,pohon
kembaliin,kembali
big,big
hati,hati
nyaringnyaring,saring
gimanapun,gimana
dgn,dengan
cheter,cheater
amburadul,amburadul
gamers,game
thn,tahun
kukasih,kasih
wi,wi
fi,fi
nyala,nyala
sempurna,sempurna
baguspay,bagus
winbanyak,win
akunku,akun
bgstapimasaa,bagus
seasin,asin
turunkita,turun
sussah,susah
payah,payah
ranknytapi,rank
mlh,malah
seasonenk,season
trn,trn
msi,masih
platniumlah,platinum
lgiklo,lagi
mw,mw
masterdan,master
jgo,jago
nymls,malas
ky,ky
gni,gini
mahg,mah
tw,tw
blikin,balik
akuu,aku
erro,error
mengangu,ganggu
ijo,hijau
muluk,muluk
plisssss,plis
helloween,helloween
hadiah,hadiah
ra,tidak
lengkap,lengkap
muncul,muncul
wifidataku,wifi
online,online
nonton,nonton
scroll,scroll
intagram,intagram
lobi,lobi
nyoba,nyoba
debgan,dengan
atw,atau
nyakut,nyangkut
isi,isi
dlm,dalam
batas,batas
akal,akal
medkid,medkid
tan,tan
dark,dark
streak,streak
pls,plis
lompat,lompat
tornado,tornado
glowol,glowol
minus,minus
stresgarenanj,stres
njir,anjir
rus,rus
bened,ban
anj,anjing
baggrafiknya,grafik
kurangyang,kurang
efek,fitur
bagusindan,bagus
adalahjangan,adalah
lelakitidak,lelaki
lelaki,lelaki
kurangin,kurang
gb,gb
ringan,ringan
ho,ho
bajubandle,baju
repaint,repaint
warna,warna
makan,makan
kurangnya,kurang
custom,custom
bewan,bewan
bangett,banget
sakura,sakura
kolep,collab
habib,habib
jafar,jafar
andara,andara
st,st
sopian,sopi
zargain,zargain
pulang,pulang
sekolah,sekolah
ngekil,kill
kil,kill
emosih,emosi
santinio,santinio
klh,kalah
plisss,plis
didunia,dunia
air,air
nyata,nyata
pasir,pasir
basah,basah
hitung,hitung
ngitungnya,hitung
ep,ep
opsi,opsi
reportnya,report
systemnya,sistem
dideteksi,deteksi
nguras,kuras
nomor,nomor
bingung,bingung
nya☆☆☆☆☆,nya
klarifikasi,klarifikasi
alami,alami
alhasil,hasil
pensiun,pensiun
pertanggung,tanggung
gawe,gawe
batu,batu
suapaya,supaya
nyagw,nya
musuhaneh,musuh
nyaa,nya
makasi,makasih
maun,main
tolongggg,tolong
sosmed,sosmed
tolonglah,tolong
lolot,lolot
pingnya,ping
keatas,atas
gila,gila
trogon,trogon
ribu,ribu
youtuber,youtuber
knpa,kenapa
ngincernya,incar
orang²,orang
miskin,miskin
slot,slot
jaringn,jaringan
pelayer,layer
ngephus,ngephus
garentod,garena
bagus²,bagus
mendadak,dadak
please,please
internet,internet
sekalidan,sekali
mala,malah
karat,karat
mati²,mati
ngelag²,lag
ngeleg²,lag
panel,panel
ngreseng,ngreseng
sanget,sangat
apgret,upgrade
teken,tekan
pepeng,pepeng
shot,shot
lainya,lain
unbind,unbind
dh,dah
sesi,sesi
kasoh,kasoh
seseru,seru
berhasil,hasil
okey,okey
collaborasi,collab
gtu,gitu
bsa,bisa
comback,comeback
jga,juga
ki,ki
kesana,kesana
rindu,rindu
embel,embel
tempur,tempur
granat,granat
macem,macem
lontar,lontar
nembus,tembus
lucu,lucu
social,sosial
island,island
berdua,dua
terimakasi,makasih
pusreng,rank
dankalo,dan
macet,macet
perfect,perfect
mapkarakterpakaian,map
item,item
sepatu,sepatu
koin,koin
mahal,mahal
gaada,gaada
bang,bang
rubah,rubah
creation,creation
camp,camp
biarin,biar
huhh,huh
dipermudahkan,mudah
ntah,ntah
apasetiap,apa
duo,duo
ituajabermudapadahal,itu
nyatapi,tapi
aktif,aktif
garenaknp,garena
abdet,update
inikendala,ini
gametrus,game
masuklogin,masuk
awalyg,awal
seringterhambat,sering
lodingakan,loading
ivenmain,main
modemohon,mode
lagiini,lagi
sengaja,sengaja
leg,lag
unggul,unggul
sihtapi,tapi
kadang²,kadang
rating,rate
kuning,kuning
kon,kon
tollll,tollll
baget,banget
parah,parah
dwonlod,download
ngak,tidak
mu,kamu
rekomen,rekomendasi
meresah,resah
goldgold,gold
zonapakai,zona
bufleng,buf
kerja,kerja
sok,sok
ampun,ampun
kemarin,kemarin
lagg,lag
kikirmana,kikir
incubator,incubator
butuh,butuh
blueprint,blueprint
dapetinnya,dapet
no,tidak
kenang,kenang
pleyer,player
mesti,mesti
ter,ter
eventnya,event
dunia,dunia
ejek,ejek
paham,paham
sesal,sesal
panutanku,panutan
usaha,usaha
ngecewain,kecewa
apdetan,update
samasama,sama
ketarik,tarik
saldo,saldo
juta,juta
gantiganti,ganti
otak,otak
lawanya,lawa
kebalkeras,kebal
support,support
gmna,gimana
kreatif,kreatif
ilegal,ilegal
atasi,atas
smooth,smooth
ringankan,ringan
uptded,update
hapenya,hp
arti,arti
bahasa,bahasa
api,api
ujung,ujung
rendahkan,rendah
freefree,free
freee,free
infinix,infinix
jagan,jangan
vivo,vivo
dowang,doang
anjirr,anjir
lagii,lagi
kayaknya,kayak
sedih,sedih
plisz,plis
balikin,balik
diganti,ganti
title,title
jarang,jarang
koneksisaya,koneksi
koneksi,koneksi
ping,ping
an,an
dev,dev
eror²,error
ehh,eh
ala,ala
santino,santino
portal,portal
haduh,haduh
garetod,garetod
csr,csr
damege,damege
ryden,ryden
nerfdi,nerfdi
max,maksimal
maksimalkan,maksimal
smartphone,hp
spesifikasi,spesifikasi
kelas,kelas
optimalkan,optimal
patahpatah,patah
manghapus,hapus
animasi,animasi
gabutt,gabut
dann,dan
gg,gg
cakap,cakap
nyambung,nyambung
taypodalam,typo
ketik,ketik
gun,gun
fight,fight
tombol,tombol
kanan,kanan
menggagu,ganggu
merubar,ubah
tekan,tekan
hud,hud
klok,klok
adat,adat
lampung,lampung
beserta,serta
sigerkain,siger
tapis,tapis
lampungnya,lampung
kerisss,keris
uhhww,uhw
lumayanlah,lumayan
gamegame,game
tampil,tampil
tida,tida
menarikselalu,menarik
dihati,hati
replay,replay
sisi,sisi
rahasia,rahasia
tolol,tolol
alasan,alas
pdhl,padahal
byr,bayar
kyk,kayak
dasar,dasar
uninstall,uninstall
version,version
ngatasin,ngatasin
bak,bak
esgepal,esgepal
temen²,teman
nama,nama
real,real
sport,sport
banyak²,banyak
updetan,update
rengked,rengk
boyaah,boyah
sy,sy
story,story
merugikan,rugi
kmbalikan,kembali
step,step
org,orang
nyasusah,susah
klau,kalau
steptiba,step
stepklau,step
stepbunyi,step
kaki,kaki
bngetga,banget
blakangitu,belakang
orng,orang
sanksi,sanksi
sepele,sepele
bner,benar
bkin,bikin
bego,bego
bet,bet
bnyak,banyak
bnrin,benar
bnget,banget
gax,tidak
smoot,smoot
aplkasi,aplikasi
taii,tai
taaii,tai
keras,keras
susakali,susah
kedepan,depan
janji,janji
jual,jual
membari,beri
dihilang,hilang
begituan,begitu
jaringanya,jaring
notif,notif
cobalahi,coba
huh,huh
rb,rb
kotak,kotak
groza,groza
svd,svd
manja,manja
rajalela,raja
gamplay,game
heroick,heroic
kau,kamu
kairos,kairos
ngeliat,lihat
derita,derita
baned,ban
tampa,tampa
hewan,hewan
pet,pet
gol,gol
kumpul,kumpul
jngan,jangan
det,det
warga,warga
kerena,karena
perbaikilah,perbaiki
starting,start
ulangini,ulang
asli,asli
wow,wow
hadeuuuhh,hadeh
kntl,kontl
redeem,redem
kode,kode
loadingnya,loading
ngeliatin,lihat
kelly,kelly
lahh,lahh
kondisi,kondisi
cararoline,cararoline
haaaa,ha
dengar,dengar
jajah,jajah
seminggu,minggu
both,both
efen,efen
nemu,nemu
teks,teks
kebal,kebal
invite,invite
drak,dark
system,sistem
bsk,besok
hehehe,hehe
temu,temu
laku,laku
afkkeluar,afk
paksa,paksa
optimal,optimal
selesai,selesai
mach,mach
ngstuck,stuck
maaferror,error
pliss,plis
garenaaa,garena
bag,bag
kiri,kiri
kekanan,kanan
jekiri,kiri
balu,balu
saatmain,main
kembang,kembang
buktiin,bukti
maju,maju
nyah,nyah
minat,minat
fug,bug
spectator,spectator
dihidupin,hidup
onmic,onmic
bng,bang
lostreak,streak
lak,lak
tdi,tadi
yaaaa,ya
sensitivitasnya,sensitivitas
licin,licin
angin,angin
sambung,sambung
lakuin,lakuin
nihil,nihil
anjng²,anjing
plng,plng
benci,benci
masalahjaringan,masalah
publik,publik
internasional,internasional
ber,ber
eleg,lag
facebook,facebook
nomer,nomer
kartu,kartu
persulit,sulit
boncos,boncos
mobile,mobile
legend,legend
kontak,kontak
responnya,respon
modifikasi,modifikasi
filemenggunakan,file
lebi,lebi
sunyi,sunyi
inii,ini
kenapaa,kenapa
syaa,saya
mainn,main
slalu,selalu
sjaa,saja
patah²atauu,patah
sya,saya
kiraa,kira
sjah,saja
smaajdi,sama
perbaikiimaap,perbaiki
ksih,kasih
dhh,dah
mojang,mojang
minecraft,minecraft
dizona,zona
loncat,loncat
tengok,tengok
kue,kue
nurun,nurun
frame,frame
bgs,bagus
black,black
list,list
apapun,apa
korban,korban
percepat,cepat
periksa,periksa
itemnya,item
dirumah,rumah
pubgml,pubg
dilobby,lobi
tsb,tsb
koneksipertanyaan,koneksi
memperhatikan,perhati
vest,vest
shirt,shirt
beda,beda
delelover,developer
ingame,game
klean,kalian
bend,ban
permanen,permanen
dikeluarin,keluar
chiter,cheater
ahklak,akhlak
seneng,senang
agustus,agustus
plissssssssss,plis
ngambek,ngambek
ngelagngelag,lag
marahstrees,marah
garagara,gara
alsan,alasan
